Date,Symbol,rk_parzen,rv5,close_price,,
20150817,.SPX,4.32E-05,3.46E-05,2102.49,,
20150818,.SPX,1.04E-05,1.36E-05,2096.9,,
20150819,.SPX,0.000108724,9.02E-05,2079.85,,
20150820,.SPX,9.38E-05,0.000115234,2036.36,,
20150821,.SPX,0.000219855,0.000231386,1971.72,,
20150824,.SPX,0.001922106,0.003729658,1893.565,,
20150825,.SPX,0.000707248,0.000734803,1868.19,,
20150826,.SPX,0.000442024,0.00080794,1940.57,,
20150827,.SPX,0.000426027,0.000359679,1987.78,,
20150828,.SPX,7.19E-05,9.13E-05,1988.48,,
20150831,.SPX,9.86E-05,0.000118752,1972.05,,
20150901,.SPX,0.000355473,0.000503992,1914.21,,
20150902,.SPX,0.000166827,0.000211603,1948.73,,
20150903,.SPX,9.92E-05,9.86E-05,1950.82,,
20150904,.SPX,0.000135805,0.000207276,1921.1,,
20150908,.SPX,0.000219147,0.000215524,1969.2,,
20150909,.SPX,0.000140266,0.000124109,1942.25,,
20150910,.SPX,0.000125465,7.68E-05,1952.19,,
20150911,.SPX,5.20E-05,6.48E-05,1960.52,,
20150914,.SPX,4.23E-05,3.55E-05,1952.97,,
20150915,.SPX,3.64E-05,3.10E-05,1978.18,,
20150916,.SPX,3.85E-05,3.52E-05,1995.08,,
20150917,.SPX,0.000152523,0.000163657,1990.26,,
20150918,.SPX,0.00017149,0.000185484,1958.05,,
20150921,.SPX,9.03E-05,7.58E-05,1967.22,,
20150922,.SPX,0.000104386,0.000171024,1942.54,,
20150923,.SPX,4.82E-05,5.73E-05,1938.81,,
20150924,.SPX,0.000122354,0.000109015,1932.52,,
20150925,.SPX,0.000103116,0.000107031,1931.56,,
20150928,.SPX,0.000136779,0.000133477,1881.9,,
20150929,.SPX,0.000133626,0.00013966,1883.82,,
20150930,.SPX,0.000172694,0.00022369,1918.63,,
20151001,.SPX,8.64E-05,0.000130196,1923.65,,
20151002,.SPX,0.000216791,0.000286794,1951.16,,
20151005,.SPX,8.46E-05,7.93E-05,1986.82,,
20151006,.SPX,5.44E-05,4.66E-05,1979.97,,
20151007,.SPX,8.98E-05,8.97E-05,1995.705,,
20151008,.SPX,5.19E-05,5.06E-05,2013.35,,
20151009,.SPX,2.46E-05,2.85E-05,2014.92,,
20151012,.SPX,6.56E-06,1.41E-05,2017.23,,
20151013,.SPX,3.27E-05,3.78E-05,2003.76,,
20151014,.SPX,4.82E-05,4.69E-05,1994.06,,
20151015,.SPX,3.79E-05,2.88E-05,2023.92,,
20151016,.SPX,2.19E-05,2.63E-05,2032.95,,
20151019,.SPX,2.89E-05,2.79E-05,2034.05,,
20151020,.SPX,2.41E-05,2.54E-05,2031.23,,
20151021,.SPX,5.58E-05,5.58E-05,2019.02,,
20151022,.SPX,7.22E-05,5.87E-05,2052.54,,
